DISTRICT,LOCATION,LONGITUDE,LATITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,TH,SAR_VALUE,RSC_VALUE
Muktsar,Bhalaiana,74.4247,30.1949,7.87,6078,0,500.4,727.4,915.0,1000.0,0.45,0,50.0,252.9,522.0,705.0,,1165.732,5.998613244,-15.4
Muktsar,Doda,74.63333333,30.38888889,8.04,4042,0,451.5,545.6,700.0,500.0,0.93,0,38.0,225.1,530.0,84.0,,1020.015,6.534997732,-13.3
Muktsar,Dohak,74.60305556,30.62805556,7.78,6434,0,341.7,1273.0,1170.0,75.0,0.41,0,132.0,218.9,890.0,153.0,,1230.984,9.502290825,-19.2
Muktsar,Kabarwala,74.41,30.193,8.28,3027,0,720.0,377.2,545.0,61.0,2.10,0,38.0,55.6,625.0,53.0,,322.6579,12.92028485,5.3
Muktsar,Khandehalal,74.403,30.364,8.1,820,0,195.3,87.6,198.0,5.0,0.48,0,42.0,30.4,120.0,6.3,,228.983,2.820602968,-1.4
Muktsar,Labanianwali,74.3253,30.3509,8.1,1722,0,451.5,175.1,322.0,29.0,0.78,0,60.0,90.0,205.0,16.0,,520.416,3.347635982,-3.1
Muktsar,Lambi,74.3626,30.0325,8.47,2355,72,341.7,255.9,450.0,52.0,2.00,0,25.0,37.9,485.0,9.6,,218.5747,12.23056194,3.6
Muktsar,Muktsar,74.3054,30.2818,7.86,4060,0,390.5,808.3,655.0,36.0,0.63,0,38.0,209.9,445.0,200.0,,957.5654,5.652645413,-13.0
Muktsar,Sareawali,74.464,30.032,8.32,6098,108,976.3,1064.2,600.0,87.0,1.40,0,42.0,139.1,880.0,465.0,,676.5408,13.07836466,5.9
Muktsar,Balochakhera,74.51,30.4832,8,1155,0,183.1,134.7,230.0,53.0,0.34,0,71.0,40.5,95.0,62.0,,343.4746,1.79935215,-3.9
Nawanshahr,Bahlloor Kalan,76.1563,31.0178,8.12,894,0,482.0,36.0,0.0,2.0,0.45,0,20.0,56.0,112.0,14.0,,190,2.569456219,2.2
Nawanshahr,Balachor,75.84666667,31.86166667,7.8,519,0,275.0,21.0,1.0,1.0,0.61,0,24.0,19.0,45.0,16.7,,140,1.372487133,1.7
Nawanshahr,Mauhra,76.3252,31.1029,7.79,858,0,356.0,64.0,23.0,29.0,0.35,0,28.0,61.0,47.0,8.0,,320,0.996398007,-0.6
Nawanshahr,Mehandpur,76.2306,31.1424,8.14,693,0,372.0,14.0,12.0,2.0,0.34,0,28.0,22.0,81.0,8.0,,160,2.291025971,2.9
Nawanshahr,Rahon,76.1188,31.0574,8,1332,0,342.0,135.0,79.0,140.0,0.29,0,20.0,39.0,118.0,157.0,,210,3.072458299,1.4
Nawanshahr,Raipur Dhaba,76.0002,31.1279,8.11,561,0,281.0,7.1,40.0,7.3,0.67,1,24.0,32.0,40.0,11.0,,190,1.069044968,0.7
Pathankot,Bamial,75.458,32.288,8.25,338,0,244.1,7.1,5.0,1.2,0.24,0,36.0,17.0,25.0,3.3,,160.128,0.68680282,0.8
Pathankot,Bham,75.4507,31.7598,8.28,370,0,207.5,14.2,20.0,13.0,0.34,0,24.0,29.2,17.0,8.0,,180.144,0.466147223,-0.2
Pathankot,Bhoa,75.5238,32.2497,8.05,430,0,183.1,21.3,30.0,25.0,0.22,0,32.0,17.0,28.0,20.0,,150.12,0.8,0.0
Pathankot,Dhalorian,75.543,32.209,8.01,330,0,183.1,14.2,10.0,11.0,0.22,0,32.0,24.3,5.6,1.9,,180.144,0.149267007,-0.6
Pathankot,Gharota Kalan,75.57222222,32.15,7.97,312,0,195.3,7.1,10.0,4.2,0.22,0,28.0,19.5,16.0,2.1,,150.12,0.4643048,0.2
Pathankot,Ghoh,75.663,32.329,8.4,675,36,256.3,42.5,10.0,50.0,0.26,0,80.0,26.8,34.0,1.8,,310.248,0.65799605,-0.8
Pathankot,Jakolahri,75.5432,32.2167,7.87,395,0,244.1,7.1,18.0,10.0,0.22,0,36.0,31.6,7.0,3.4,,220.176,0.170276489,-0.4
Pathankot,Keari,75.497,32.279,7.92,370,0,256.3,7.1,5.0,3.5,0.28,0,48.0,14.6,22.0,3.2,,180.144,0.556116153,0.6
Pathankot,Khani Khui,75.55,32.16,8.07,530,0,341.7,14.2,15.0,1.0,0.60,0,36.0,36.5,36.0,2.5,,240.192,0.845597116,0.8
Pathankot,Kui,75.8706,32.4336,8.27,710,0,305.1,70.9,26.0,18.0,0.28,0,96.0,19.5,34.0,1.9,,320.256,0.632729263,-1.4
Pathankot,Nawanpind,75.5889,32.3406,8.1,320,0,158.7,14.2,10.0,23.0,0.20,0,28.0,21.9,9.1,4.0,,160.128,0.257644642,-0.6
Pathankot,Parmota,75.753,32.3474,8.12,115,0,61.0,7.1,0.0,4.3,0.15,0,16.0,2.4,5.5,1.9,,50.04,0.256438822,0.0
Pathankot,Pathankot,75.6501,32.2736,7.89,450,0,231.9,28.4,14.0,14.0,0.24,0,24.0,29.2,33.0,7.2,,180.144,0.90487402,0.2
Pathankot,Sarna,75.5879,32.2626,7.9,328,0,183.1,14.2,0.0,4.2,0.20,0,32.0,19.5,7.7,2.6,,160.128,0.214593768,-0.2
Patiala,Allowal,76.29,30.43805556,7.8,818,0,574.0,28.0,0.0,7.7,0.40,0,40.0,32.0,130.0,8.4,,230,3.064129385,4.7
Patiala,Balbhera,76.358475,30.15791389,7.86,962,0,549.0,48.0,0.0,27.0,0.48,0,52.0,41.0,108.0,7.9,,300,2.239815661,3.0
Patiala,Basma Pepla,76.4069,30.685,7.65,2354,0,439.0,354.0,276.0,100.0,0.30,0,76.0,107.0,180.0,168.0,,631,2.661196575,-5.5
